taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002909,0.002124,0.002757,0.002619,0.001375,0.001553,0.000020,0.000119,0.001552
2000,0.012942,0.009853,0.010510,0.010665,0.003989,0.004898,0.000021,0.000150,0.005392
3000,0.027738,0.020252,0.024644,0.023244,0.010662,0.011866,0.000029,0.000307,0.016029
4000,0.038648,0.024814,0.028127,0.026141,0.011345,0.013441,0.000028,0.000219,0.016208
5000,0.054079,0.036071,0.044504,0.043330,0.018212,0.021850,0.000033,0.000279,0.023523
10000,0.218262,0.147191,0.177277,0.180423,0.073228,0.086943,0.000098,0.000623,0.096636
15000,0.544861,0.347007,0.401335,0.385440,0.168200,0.200435,0.000094,0.000921,0.221993
20000,0.853977,0.604504,0.704607,0.685053,0.291466,0.342417,0.000125,0.001201,0.392054
25000,1.498986,1.014070,1.384482,1.139134,0.484265,0.560650,0.000160,0.001440,0.607490
